Epoch,Time,Loss,Train_Acc,Val_Acc,Action
149,205.9m,1.4372,0.7485,0.7291,Stop: 14/50
150,207.3m,1.4395,0.7463,0.7337,Stop: 15/50
151,208.7m,1.4391,0.748,0.7298,Stop: 16/50
152,210.1m,1.4371,0.7483,0.7279,Stop: 17/50
153,211.5m,1.4358,0.7483,0.7299,Stop: 18/50
154,212.8m,1.4309,0.7509,0.7322,Stop: 19/50
155,214.2m,1.4348,0.7488,0.7258,Stop: 20/50
156,215.6m,1.4343,0.75,0.7301,Stop: 21/50
157,217.0m,1.4329,0.7503,0.7386,SAVE
158,218.4m,1.4301,0.7506,0.7296,Stop: 1/50
159,219.8m,1.4325,0.7507,0.7284,Stop: 2/50
160,221.1m,1.4281,0.7525,0.7325,Stop: 3/50
161,222.5m,1.4259,0.7541,0.729,Stop: 4/50
162,223.9m,1.4272,0.7514,0.736,Stop: 5/50
163,225.3m,1.4269,0.7514,0.7308,Stop: 6/50
164,226.7m,1.4258,0.7526,0.734,Stop: 7/50
165,228.1m,1.4228,0.7538,0.7282,Stop: 8/50
166,229.5m,1.4221,0.7552,0.736,Stop: 9/50
167,230.8m,1.4211,0.7547,0.7252,Stop: 10/50
168,232.2m,1.4229,0.7531,0.7314,Stop: 11/50
169,233.6m,1.4207,0.756,0.73,Stop: 12/50
170,235.0m,1.4177,0.7563,0.7292,Stop: 13/50
171,236.4m,1.4179,0.754,0.736,Stop: 14/50
172,237.8m,1.4138,0.7557,0.734,Stop: 15/50
173,239.1m,1.4175,0.7536,0.7287,Stop: 16/50
174,240.5m,1.4132,0.757,0.7329,Stop: 17/50
175,241.9m,1.4159,0.7558,0.7289,Stop: 18/50
176,243.3m,1.4132,0.7565,0.7361,Stop: 19/50
177,244.7m,1.4147,0.7557,0.7309,Stop: 20/50
178,246.1m,1.4131,0.7568,0.7298,Stop: 21/50
179,247.4m,1.4133,0.7581,0.7343,Stop: 22/50
180,248.8m,1.4085,0.7571,0.7273,Stop: 23/50
181,250.2m,1.4119,0.7577,0.7314,Stop: 24/50
182,251.6m,1.4121,0.7572,0.7284,Stop: 25/50
183,253.0m,1.409,0.7598,0.7282,Stop: 26/50
184,254.4m,1.4101,0.7585,0.7373,Stop: 27/50
185,255.8m,1.4034,0.7608,0.7312,Stop: 28/50
186,257.1m,1.4056,0.7606,0.7333,Stop: 29/50
187,258.5m,1.405,0.759,0.7318,Stop: 30/50
188,259.9m,1.4038,0.7597,0.7308,Stop: 31/50
189,261.3m,1.3985,0.7613,0.7309,Stop: 32/50
190,262.7m,1.406,0.7593,0.7312,Stop: 33/50
191,264.1m,1.3976,0.7641,0.7366,Stop: 34/50
192,265.4m,1.4006,0.762,0.7327,Stop: 35/50
193,266.8m,1.3977,0.7627,0.7284,Stop: 36/50
194,268.2m,1.396,0.7628,0.7323,Stop: 37/50
195,269.6m,1.3957,0.7637,0.7313,Stop: 38/50
196,271.0m,1.3964,0.7637,0.7319,Stop: 39/50
197,272.4m,1.3945,0.7645,0.7336,Stop: 40/50
198,273.7m,1.3921,0.764,0.7339,Stop: 41/50
199,275.1m,1.3944,0.7616,0.7327,Stop: 42/50
200,276.5m,1.3932,0.7633,0.7345,Stop: 43/50
201,277.9m,1.3918,0.7644,0.7296,Stop: 44/50
202,279.3m,1.3908,0.7645,0.7358,Stop: 45/50
203,280.6m,1.3939,0.7642,0.7369,Stop: 46/50
204,282.0m,1.3894,0.7662,0.7327,Stop: 47/50
205,283.4m,1.3877,0.7677,0.7356,Stop: 48/50
206,284.8m,1.3908,0.7646,0.7324,Stop: 49/50
207,286.2m,1.3839,0.7682,0.7325,Stop: 50/50
